Id,Date Created,Number of Likes,Source of Tweet,Tweet,Followers,Following,Retweet Count
deirtagge,2023-02-11 02:55:56+00:00,0,Twitter Web App,"RT @ejmalrai: Romania denies reports that its airspace was violated by a Russian missile. And if #Russia missiles crossed #Romania, nothing…",379,1554,16
LaylaGorka,2023-02-11 02:55:55+00:00,0,Twitter for iPad,"RT @nexta_tv: The #US President to visit #Poland on February 20-22, White House says

Earlier, Polish authorities said they had sent Joe Bi…",28,42,44
MAMARTINEZNica,2023-02-11 02:55:53+00:00,0,Twitter Web App,"RT @MAMARTINEZNica: CAUSA ADMIRACIÓN DETERMINACIÓN DE #RUSSIA 

https://t.co/MDVPdybqnw

#Spain #Portugal #France #Germany #Netherlands #Be…",40,18,1
tommyT2T23,2023-02-11 02:55:51+00:00,0,Twitter Web App,RT @GordonGChang: This is not a drill. We’re now playing for keeps. #China #Russia,65,254,195
cleary_clearly,2023-02-11 02:55:51+00:00,0,Twitter for iPhone,RT @GordonGChang: This is not a drill. We’re now playing for keeps. #China #Russia,1449,3844,195
ASIANMARUBOZU,2023-02-11 02:55:26+00:00,0,Twitter for iPhone,#Russia Putin is evil. https://t.co/ZhWCvwBPYM,371,193,0
Santin16Giorgio,2023-02-11 02:55:25+00:00,0,Twitter Web App,"@RaufHabibov @sandumaiamd @EmmanuelMacron @NATO Macron's favorite courtesan #Armenia is #Iran regime's friend, who… https://t.co/2Zv98il0F3",3,12,0
Richard24856748,2023-02-11 02:55:11+00:00,0,Twitter for iPhone,RT @lesiavasylenko: 61/71 missiles #russia launched were downed by #Ukraine air defence. 6 infrastructure targets hit nonetheless. We need…,494,1039,110
jessecox1953,2023-02-11 02:55:03+00:00,0,Twitter Web App,RT @GordonGChang: This is not a drill. We’re now playing for keeps. #China #Russia,308,981,195
deltacrook,2023-02-11 02:54:33+00:00,0,Twitter for iPad,RT @GordonGChang: This is not a drill. We’re now playing for keeps. #China #Russia,1897,768,195
